Gene,Weight
Fbp1,0.007971390366340604
snk,0.006641080610109369
CG3819,0.003414658214884731
lncRNA:CR45188,0.002180643330711267
CG34002,0.0017276997528415158
CG46388,0.0015423568324646139
Dfd,0.0015007350287970418
CG5897,0.0013501035221343593
prd,0.0012981165854282187
asRNA:CR44106,0.0011735612111281508
Dab,0.0009362931405458818
CG45066,0.0009039908853223779
GATAe,0.0008907454147028376
lncRNA:CR44761,0.0008659409995405732
CG15649,0.0008547118796147921
CG18480,0.0008272448611326709
lncRNA:CR32730,0.000797745469621826
asRNA:CR45135,0.0007813892501581854
Ir7c,0.0007608914893025658
gammaTry,0.0007402035148674612
Phae1,0.0007028403802942983
CG3690,0.0006878172581868224
NT1,0.0006835572972660621
CG17375,0.0006341769788791652
lncRNA:CR44109,0.0006251137975258904
lncRNA:CR43498,0.000624900267096094
Tom,0.0006193023285833647
lncRNA:CR45430,0.0006117114943093371
CG43235,0.0006097180294018424
CG6839,0.0006069589416597489
CG17298,0.0006013022544561831
CG9411,0.0005956811637142884
asRNA:CR44989,0.0005941582632533539
lncRNA:CR46219,0.0005902379270576877
CG15153,0.0005866428252250762
CG10405,0.000575617331410262
lectin-37Da,0.0005709127440253448
vanin-like,0.0005654969234613361
lncRNA:CR44568,0.0005291635848050432
lncRNA:CR45581,0.000527606659527127
blanks,0.0005252901359265619
Obp85a,0.0005226575151907043
CG13690,0.0005225170173506636
CG10764,0.000514095385355655
CG14717,0.0005092696329999408
lncRNA:CR45646,0.0005059878343855462
ppk31,0.0005028936966016615
Rab9D,0.0005026357620386468
lncRNA:CR44620,0.0004970873684078621
lncRNA:CR44603,0.000495400298489863
lncRNA:CR45824,0.0004919250523955786
lectin-37Db,0.0004906890491336325
cv-2,0.0004814632839077718
Him,0.00047664250275747996
sowi,0.0004672067923918681
lncRNA:CR45457,0.0004617177622515959
lncRNA:CR45377,0.00046063935074317587
CG33511,0.00045703277083321807
CG33160,0.0004384429306450098
lncRNA:CR44899,0.00043786604371364514
CG12971,0.00042873233656409775
lncRNA:CR45901,0.0004210938486271304
lncRNA:CR46061,0.0004197268764307582
CG32161,0.000409750582425735
CG34045,0.0004094773447012842
Alp1,0.0004083806137638021
CG5665,0.0004079749867627738
CG31821,0.00040571494274939255
lncRNA:CR43974,0.0004020703467238753
Cyp4p2,0.000387668534155619
CG11977,0.0003830655986004352
lncRNA:CR44348,0.00038302519317818124
CG5103,0.00037064025374623674
lncRNA:CR43857,0.0003684256497172935
CG30289,0.00036553701890804156
CG32277,0.00035712868694593163
CG34162,0.0003514328413154465
Obp56f,0.0003505901707091411
lncRNA:CR44964,0.00035002990961242186
CG42820,0.00034778492407378414
Abd-B,0.00034752271536941774
asRNA:CR45272,0.0003469634025810286
Kaz1-ORFA,0.0003465804032014777
CG31693,0.00034591028650005453
Lip1,0.0003456921769978171
mms4,0.0003446866056300794
lncRNA:CR44728,0.00034427605106116405
asRNA:CR46091,0.00034412232396271157
CG4835,0.00034279901984692317
org-1,0.0003416487772413053
CG6901,0.00034037964651491287
lncRNA:CR43418,0.0003398056957398974
CG6628,0.0003393477109494293
lncRNA:CR44900,0.0003378476234363989
CG33934,0.0003362012968976204
lncRNA:CR44056,0.0003347051073217887
CG15147,0.00033356176267476
CG14760,0.0003327069122847362
CG30278,0.0003321918844428766
CG12477,0.0003281100525876454
Fbp2,0.00032806495695419626
CG32241,0.0003224304429912851
CG13544,0.0003219157868393362
CG15043,0.00032025920267011803
CR43281,0.0003139194507872554
CG9316,0.00031367162479323566
Gr98a,0.0003109684518693417
CG31087,0.00031034741082055297
CG13527,0.0003048750687856664
mas,0.0003022697540814439
lncRNA:CR32385,0.000299314526348765
Elo68beta,0.00029930631717439314
dmrt93B,0.0002990070349326286
Lcp2,0.00029703911949577246
CG14739,0.00029520075899438147
lncRNA:CR43905,0.0002950968807294748
asRNA:CR44990,0.00029392515472748435
CG12609,0.0002936170335085581
GluRIIB,0.00029160325549124614
lncRNA:CR45280,0.00028409782615747384
Obp50e,0.00028357350418716784
lncRNA:CR46021,0.0002829722813052492
lncRNA:CR45120,0.0002826318576447927
CG13810,0.00028235824314411874
CG18088,0.00028217577403602827
CG30395,0.0002816781484626773
lncRNA:CR45447,0.00028061119504350397
RYa,0.00027655195905058297
CG13198,0.0002751162745233986
CG43645,0.0002750806430192767
CR46419,0.00027435804005312796
lncRNA:CR44363,0.00027424579685532505
CG9263,0.0002736895479919951
Kaz-m1,0.00027290793815337386
CG10931,0.00027270431188387877
Cpr65Az,0.00027227287834115187
hog,0.00027069414164755234
lncRNA:CR44185,0.00026905171935110486
CG31933,0.00026876022026208217
CG43312,0.00026795281094323814
CG10477,0.0002673367454004932
lncRNA:CR45030,0.00026713111908797563
Rpn12R,0.0002667633713218652
CG31244,0.00026543202817513883
CG4793,0.0002651072352962935
lncRNA:CR45372,0.00026460943187745775
TwdlY,0.0002595468365783278
asRNA:CR44062,0.00025886157817059076
lncRNA:CR45957,0.000258795823942547
asRNA:CR44372,0.0002585891614134938
lncRNA:CR45082,0.00025800620317096353
robl62A,0.0002562441477708878
lncRNA:CR45551,0.00025314557153166274
Ir94f,0.00025182750038985714
CG6462,0.0002495644596662881
lncRNA:CR45793,0.00024924918827920993
CG32313,0.000248073428194235
asRNA:CR44291,0.00024793117761439515
lncRNA:CR43978,0.0002429204180444762
lncRNA:CR44753,0.00024154679734000845
asRNA:CR45834,0.00024119176846131845
CG15641,0.00024088134413439074
CG17801,0.0002406993428268577
lncRNA:CR43937,0.0002402327190940203
CG42364,0.00023664494567967904
Cht4,0.00023539053403553325
lncRNA:CR46476,0.00023365606414935307
CG31815,0.00023143147213296924
CG31465,0.0002314057346930912
CG15818,0.00022987349590088002
aust,0.00022965039632257887
lncRNA:CR44784,0.00022882755006817154
COX6CL,0.00022740849526561944
CG34260,0.00022683992383448566
CG17134,0.00022674814474345746
CG10300,0.00022538748923484943
lncRNA:CR45698,0.0002232557897887712
CG5506,0.00022107023842289083
CG30350,0.00022103757316133333
WRNexo,0.00022025804347433896
asRNA:CR43866,0.00021754184221834348
ATPsynCF6L,0.00021699467358535864
CG15483,0.000216212705268177
CG7251,0.00021381322465765588
mtrm,0.00021055648368375812
asRNA:CR45367,0.00021014600464913744
lncRNA:CR43904,0.00021010011444683228
lncRNA:CR45959,0.00020826076583172544
lncRNA:CR44589,0.00020551811964093623
CG8746,0.00020537979967316205
ChLD3,0.00020386307579416062
Desat2,0.0002037519536695546
CG8517,0.00020361705915714529
CG14125,0.00020322758325551086
lncRNA:CR45979,0.00020308393084572364
Or33b,0.00020223354688594843
CG7320,0.00020091882953723119
ddbt,0.00020084854756177538
asRNA:CR46092,0.00019993225438631707
Spn75F,0.00019963598037172427
Cyp313a3,0.0001985264236915328
lncRNA:CR44080,0.00019626687998653019
CG6280,0.00019590303491040016
lncRNA:CR45013,0.00019575112168493419
asRNA:CR44169,0.00019572275277160247
CG9173,0.00019534431839388636
CG45064,0.00019490171399912305
Kots,0.00019487529268058786
Chd3,0.00019467526020213182
CG4440,0.00019365809144866777
CG4520,0.00019325844367583877
CG15865,0.0001929529134144122
CG34316,0.00019227729861420503
dbf,0.00019201477080304694
CG43072,0.00019070497006740798
CG43179,0.00019053286728422101
CG42857,0.00019020451762166043
Ser8,0.00018710354557784342
CG9259,0.00018710312557614948
lncRNA:CR43949,0.00018624403929003465
CG44521,0.00018599144162816583
CG6220,0.00018599080184080849
CG45065,0.00018565148008409122
CG43702,0.00018517828650075724
CG6324,0.0001848879539312379
LManVI,0.00018311191448345667
asRNA:CR43868,0.00018177338299741407
CG12674,0.00018168136317616218
CG43315,0.00018046896411606355
lncRNA:CR44306,0.0001804017172014339
CG33223,0.0001793026174862353
CG43938,0.00017924426320874766
CG9101,0.00017920017324394818
Muc11A,0.00017820696803694133
asRNA:CR44386,0.000176466431387519
Cyp316a1,0.00017608519982175032
CG13323,0.00017526590554799146
Sr-CIV,0.00017503780822520978
lncRNA:CR43256,0.0001739632377481993
Tsp42A,0.00017374569986343765
lncRNA:CR46039,0.0001736100052095798
CG4286,0.00017198590381399745
lncRNA:CR43914,0.00017162830447953005
lncRNA:CR45971,0.00017086701806959977
CheB53b,0.00017052253332011509
